,Menos de $25.000,Entre $25000 y 55.000,Entre $55.000 y $99.000,Entre $100.000 y $200.000,Mï¿½s de $200.000
zona alta / sin menores / ingresos bajos,6,15,0,0,0
zona alta / sin menores / ingresos medios,0,0,20,23,0
zona alta / sin menores / ingresos altos,0,0,0,0,8
zona alta / con menores / ingresos bajos,1,5,0,0,0
zona alta / con menores / ingresos medios,0,0,18,12,0
zona alta / con menores / ingresos altos,0,0,0,0,2
zona media / sin menores / ingresos bajos,19,45,0,0,0
zona media / sin menores / ingresos medios,0,0,57,25,0
zona media / sin menores / ingresos altos,0,0,0,0,7
zona media / con menores / ingresos bajos,4,22,0,0,0
zona media / con menores / ingresos medios,0,0,35,13,0
zona media / con menores / ingresos altos,0,0,0,0,1
zona baja / sin menores / ingresos bajos,53,49,0,0,0
zona baja / sin menores / ingresos medios,0,0,14,2,0
zona baja / con menores / ingresos bajos,61,55,0,0,0
zona baja / con menores / ingresos medios,0,0,17,3,0
